2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.1.1157 / 83478572b9f23efac29de15e30c7758bbb0c0e47
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 7.11.0.29148 / e0695da6058ee662cb747ac920253d344609f19c
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript/CSS Code Quality and Security / 9.1.0.17747 / e9a6665cfd326e7eeb36dbd112510b06f439ea34
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Kotlin Code Quality and Security / 2.9.0.1147 / 6ce439214a685d4aabde6461fd609a9a9c1df1c6
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.23.1.8766 / db197ac9daccf3d305ad5e40618a65a95f3d5dde
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.12.0.9583 / 035ca7e8a60604a221fbba55c7b113e34317d061
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Ruby Code Quality and Security / 1.9.0.3429 / faf3c08c0ebf3a877186442cd4a0ddd50de079a8
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Scala Code Quality and Security / 1.9.0.3429 / faf3c08c0ebf3a877186442cd4a0ddd50de079a8
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Text file Code Quality and Security / 1.0.0.120 / b7539037caf5df01cc49bb7820a0c23f35196f0e
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.36.1.44192 / 855387dffd60a6e903221a41ff5282452c1b742b
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin XML Code Quality and Security / 2.5.0.3376 / 3b089c16cf0736c56f4fdb2fc88ddad59e7ca45d
2022.06.04 22:27:56 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://127.0.0.1:9001]
2022.06.04 22:27:56 WARN  web[][o.s.a.s.w.WebService$Action] Description is not set on action api/monitoring/metrics
2022.06.04 22:27:56 WARN  web[][o.s.a.s.w.WebService$Action] Since is not set on action api/monitoring/metrics
2022.06.04 22:27:56 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/monitoring/metrics
2022.06.04 22:27:56 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.06.04 22:27:57 INFO  web[][o.s.s.p.DetectPluginChange] Detect plugin changes
2022.06.04 22:27:57 INFO  web[][o.s.s.p.DetectPluginChange] No plugin change detected
2022.06.04 22:27:57 WARN  web[][o.a.c.u.SessionIdGeneratorBase] Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [124] milliseconds.
2022.06.04 22:27:57 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@651825db [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2022.06.04 22:27:57 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2022.06.04 22:27:59 INFO  web[][o.s.s.s.LogServerId] Server ID: 147B411E-AYEpyo13mNaSMnmJpY4m
2022.06.04 22:27:59 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2022.06.04 22:28:00 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketcloud_repos
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/project_dump/status
2022.06.04 22:28:02 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2022.06.04 22:28:02 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2022.06.04 22:28:02 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.06.04 22:28:02 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.06.04 22:28:02 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.06.04 22:28:02 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.06.04 22:28:02 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.06.04 22:28:02 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.06.04 22:28:02 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@1f6459f5 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@55208893 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@867070 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@367ee2b9 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@b68be72 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@5a5ddb9c [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@69eb3557 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@48193586 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@f0e2270 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@4219fcf [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@284179f9 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:28:02 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.06.04 22:28:02 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.06.04 22:28:03 INFO  web[][o.s.s.p.Platform] Web Server is operational
